item1	item2	item3	item4	item5	item6
0.3815611032	0.6276726364	0.5729982939	0.4181799017	0.3974617531	0.8747662807
0.3296342358	0.02475877851	0.7055311105	0.4704181644	0.9007802117	0.9986113009
0.2755865374	0.6959888176	0.01792059339	0.7536446729	0.3865681235	0.4002790635
0.644938336	0.3872955852	0.8282396664	0.8326829201	0.7597142413	0.6630326669
0.6125745961	0.1429060582	0.3223223369	0.2424409853	0.3550478797	0.7490292167
0.2344092096	0.4105910888	0.7837137683	0.9152027828	0.441939272	0.4585932947
0.1123836208	0.6100194639	0.7168755005	0.5048473913	0.9112522007	0.8159800425
0.5806772859	0.1880434334	0.5622648499	0.346699063	0.1733118334	0.3752525844
0.1023571124	0.7453280187	0.7547813369	0.5427215368	0.3340112107	0.2786788403
0.2571628716	0.2610293646	0.43247065	0.3905606082	0.2870270223	0.3024595773
0.8112664394	0.7014417233	0.5006393755	0.08924679795	0.08288146586	0.1398908442
0.9788652587	0.6427714825	0.4988375127	0.9879148527	0.677673262	0.4267730963
0.5254636214	0.6818040232	0.5237124167	0.2675796639	0.872586327	0.9364893411
0.03668591455	0.2584223392	0.07052291396	0.6202131478	0.3546184606	0.1917141297
0.2064952492	0.4296659591	0.6684357408	0.6987893273	0.9552306365	0.2621840241
0.6192854883	0.1081745616	0.9888724332	0.2556173728	0.9202047679	0.2157484889
0.2300401526	0.2282585874	0.01182026271	0.2765724505	0.7019666392	0.4206194253
0.05672103906	0.709631201	0.7764335082	0.874894276	0.5288229583	0.5990004304
0.01358159445	0.4622420915	0.9673002747	0.3098723202	0.4934236235	0.5276362635
0.6348912308	0.9042071786	0.02321289233	0.09575036123	0.7847367925	0.341628961
0.6900593945	0.8544791052	0.9710502631	0.5397720425	0.894495892	0.5227292134
0.5410440686	0.5147116636	0.7635342059	0.08992977709	0.9464425626	0.5227369324
0.4078480707	0.1160235243	0.7314469974	0.0320306988	0.261237738	0.3387384999
0.06081800723	0.04033064679	0.6183399196	0.2534223827	0.7634225025	0.1523276068
0.8103707962	0.3615999006	0.3549065204	0.2026774827	0.2909898038	0.8774989121
0.09965229154	0.07196769453	0.2857081608	0.2133935085	0.7705435644	0.4924029672
